"Antheraxanthine" "beta-beta_carotene" "Chlorophylle_a" "Chlorophylle_a_allomer" "Chlorophylle_a_epimer" "Chlorophylle_b" "Chlorophylle_b_iso1" "Chlorophylle_b_iso2" "Chlorophylle_c1" "Diadinoxanthine" "Diatoxanthine" "Fucoxanthine" "Fucoxanthine-like2" "Luteine" "Neoxanthine" "Pheophorbide_a" "Pheophytine_a" "Pheophytine_a1" "Pyropheophorbide_a" "Violaxanthine" "Zeaxanthine" "ID"
"1" 0.586010255818542 1.69928535446681 51.0732830213932 0.655299746351041 6.4098716004601 0.573927099717595 0 0 6.90009417562876 0.606271860765695 0.213797617880943 23.3741810838167 0.911936656931562 0 0 0 1.40951609471857 0 0 4.66878937296384 0.917736059086598 "A00T00R1"
"2" 0.53945444902623 1.86432364532841 49.9074173157184 1.15457669343348 8.81798637364816 0.492833796256173 0 0 7.08759508523496 0.532904545137137 0.148497843421059 22.5785035003313 0.814516580989724 0 0 0 1.55272424743522 0 0 3.77569431137548 0.732971612664263 "A00T00R2"
"3" 0.640541842131197 2.03908547323195 48.6352475682369 1.92872268227191 8.10845055079689 0.777770500454932 0 0 7.41550239862535 0.618238513467868 0.187257489354982 23.2449316745193 1.03225703886932 0 0 0 1.7406194033483 0 0 2.97064151757344 0.660733347117699 "A00T00R3"
"4" 0.670789482065928 2.17977876681524 51.71941605404 1.37792375803679 4.36274655253113 0.871637359983324 0 0 7.90506133437223 0.598264123389852 0.23142176668165 23.5570213921942 1.1188632995835 0 0 0 1.6769190266383 0 0 3.08004793164118 0.650109152026656 "A00T00R4"
"5" 0.789053271954758 2.95148365652364 55.7458141678474 1.57897744636439 5.49134201079857 0.512783439110184 0 0 6.15209242910172 0.518071868781066 0.193217945340554 16.8689027809152 1.09010772311371 0 0 0 4.14340690433665 0 0 2.91278127809414 1.051965077718 "A00T01R1"
"6" 0.67888131736036 2.49479488436224 51.5150000726143 3.22644314499909 5.14196137536887 0.84125457929825 0 0 7.25362010764091 0.661515597111801 0.200730937581574 19.3167883608216 1.43708330549305 0 0 0 3.63316223847881 0 0 2.73295761762012 0.865806461249029 "A00T01R2"
"7" 0.590055403340373 2.50497299071141 52.6250134462776 2.02849524493584 4.64547806096278 0.913433001585229 0 0 7.27654501120278 0.649803733603394 0.218006788566261 18.7878706087241 1.31041153798196 0 0 0 5.2249884010991 0 0 2.38990776280509 0.835018008204083 "A00T01R3"
"8" 0.431407476887998 2.57593283983385 53.676843529522 1.74916099565389 4.92801722773515 0.632265562760468 0 0 7.65301910576722 0.488285517053452 0.153790560713033 19.5145481613631 1.23839152165284 0 0 0 3.7848775845731 0 0 2.57514027206367 0.598319644420294 "A00T01R4"
"9" 0.514124315214491 2.36687634937127 53.1382312489676 2.26575479971379 4.91156277211458 0.675436486985597 0 0 7.34294544007664 0.575021055696253 0.162031165212202 19.364451705367 1.2443564012917 0 0 0 4.49006150932578 0 0 2.312240049294 0.636906701369067 "A00T01R5"
"10" 0.264868194110246 2.45715787948349 49.2552482934542 1.54498806928868 4.49035112284024 0.36793019924916 0 0 5.2850441123459 0.218847259652858 0.134178129820198 19.5779071104748 0.446516897323357 0 0 0 13.5964801983837 0 0 1.4471346686065 0.913347864966607 "A00T10R1"
"11" 0.345970309165115 2.33924451705407 47.7027842218846 1.98282804866319 3.96891214985247 0.64960030819229 0 0 5.57512607577719 0.310394640981497 0.195224248171995 19.2170781143934 0.658587209928872 0 0 0 14.7182184646103 0 0 1.35455914228614 0.981472549038885 "A00T10R2"
"12" 0.220118108389922 2.24670051882357 46.1554321503437 1.28978273459897 4.97773479345536 0.428484643306094 0 0 5.99894531163044 0.230738627079145 0.143377544981518 19.8843732753714 0.515142609313857 0 0 0 15.7222974103277 0 0 1.3865645927627 0.800307679615656 "A00T10R3"
"13" 0.381477468975553 2.29547327639395 49.2522234140737 2.9328057045146 5.27067201464941 0.491348137938773 0 0 5.70385634983175 0.308908592402954 0.172596458583208 20.0270123129054 0.739079037961485 0 0 0 9.93050001392225 0 0 1.57348269892866 0.920564518918308 "A00T10R4"
"14" 0.395164800400591 1.95389901523618 46.2603553853005 1.43421398069701 3.19047551440915 0.655256093054663 0 0 3.00104469874028 0.421835977963453 0.205357231679341 18.4333660379661 1.00378548778881 0 0 0 13.7670677417387 0 6.91201433012146 1.35744345478467 1.00872025011899 "A00T20R1"
"15" 0.335805584584016 1.80628856684514 47.2906649746476 2.39686030771852 3.66233103205884 0.636205386897203 0 0 3.27739525436613 0.340018525197538 0.173629902375508 19.5542581836152 1.0886934183605 0 0 0 13.0673823157569 0 4.44404232211474 1.14681107570464 0.77961314975752 "A00T20R2"
"16" 0.221341812483679 1.95644601401023 43.4886954515639 1.92783666495823 3.42746355723908 0.444265735121505 0 0 5.78099638937259 0.25852201546359 0.142599148836046 18.3807934233375 0.56408351896374 0 0.281394846525057 0 11.7456969677966 1.68069151764795 7.83645476285636 1.17779623270368 0.684921941120172 "A00T20R3"
"17" 0.30712196353937 1.89429246050392 41.487963098587 1.26985820531786 2.87687394577637 0.615840171410321 0 0 4.19734780557799 0.30631567128939 0.206044334143275 16.4051508589394 0.643182471453326 0 0 0 18.8526228721481 3.12604708408147 5.76762036098329 0.941497052753758 1.10222164349521 "A00T20R5"
"18" 2.34883556709794 2.22409182426852 28.1737983013082 5.14045412019218 4.81527749645878 3.6229632094363 0 0 5.51712675470756 1.55921382752578 0.994572725216327 12.6720111733714 2.80863218174517 0 0 0 14.5214530798336 0 10.2809483525397 2.75919168554654 2.56142970075204 "A00T35R1"
